sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.0,0.6,-1.5,0.9602293968200684,0.018581153720123915,0.841539591550827,0.01514872587927018,0.7189767062664032,0.01130259568674966
0.001,1.0,0.25,0.0,0.65,-1.5,0.9617508351802826,0.016789323391948725,0.8466696217656136,0.009169125132352022,0.7283926233649254,0.01203495115848126
0.001,1.0,0.25,0.0,0.7,-1.5,0.9647749587893486,0.016778968368495014,0.8364556804299355,0.012572653021392693,0.7278017029166222,0.007125736055685308
0.001,1.0,0.25,0.0,0.75,-1.5,0.9634373635053635,0.018333984965412407,0.8446662351489067,0.009222165213114215,0.724877379834652,0.012549457629256928
0.001,1.0,0.25,0.0,0.8,-1.5,0.9605825990438461,0.014715609354909386,0.8393746316432953,0.010241681844270545,0.7164478525519371,0.02038356062034406
0.001,1.0,0.25,0.1,0.6,-2.0,0.9457677155733109,0.02518807433521024,0.8381132036447525,0.010684186736885943,0.7166541740298271,0.015083546532786587
0.001,1.0,0.25,0.1,0.65,-2.0,0.9520412608981133,0.017705133349409388,0.8389607220888138,0.009553464622472498,0.7151878029108047,0.005932744891636876
0.001,1.0,0.25,0.1,0.7,-2.0,0.9560753405094147,0.015879147899645483,0.8313633352518082,0.01287219630871254,0.7016693204641342,0.0164388975759377
0.001,1.0,0.25,0.1,0.75,-2.0,0.953379862010479,0.018075393552290018,0.8344539478421211,0.015094517941914371,0.7167136296629906,0.017330415014406585
0.001,1.0,0.25,0.3,0.6,-2.5,0.9519519358873367,0.015074974617423909,0.8221231922507286,0.014593024567130347,0.7009621933102608,0.019699912403994976
0.001,1.0,0.25,0.0,0.6,-3.0,0.9352409020066261,0.015245800464224132,0.8108568862080574,0.006094432984394723,0.6742070764303207,0.0166707435576294
0.001,1.0,0.25,0.0,0.65,-3.0,0.9374336749315262,0.02223751018745495,0.8046771064400673,0.009989878887872358,0.6690881177783012,0.020950765671172846
0.001,1.0,0.25,0.0,0.6,-2.5,0.9550487399101257,0.017755096387792726,0.8232852816581726,0.013006139538962506,0.707310400903225,0.01351752707422152
0.001,1.0,0.25,0.0,0.7,-2.5,0.9428872391581535,0.016024013008946385,0.8195598125457764,0.01023138599605791,0.6908705979585648,0.02269519997927366
0.001,1.0,0.25,0.0,0.75,-2.5,0.9404137060046196,0.023349604230388888,0.8074702695012093,0.008233905120931228,0.688090018928051,0.014404000661320599
0.001,1.0,0.25,0.0,0.8,-2.5,0.9457735046744347,0.016930943684547756,0.81206164509058,0.012412795570732639,0.6814631223678589,0.01582294430535208
0.001,1.0,0.25,0.0,0.85,-2.5,0.9372052028775215,0.01941828815999605,0.8103670030832291,0.009317248559154716,0.6802269816398621,0.018474762916388242
0.001,1.0,0.25,0.0,0.9,-2.5,0.9484401792287827,0.008377455188344422,0.8002154603600502,0.01234875416004176,0.6687683388590813,0.02184854690402014
0.001,1.0,0.25,0.0,0.95,-2.5,0.9423649907112122,0.015564472634049848,0.7989210188388824,0.012947116564999864,0.6612072736024857,0.014689648789489964
0.001,1.0,0.25,0.0,1.0,-2.5,0.9222303777933121,0.01639972947579969,0.7983815371990204,0.013639213559407849,0.6665072813630104,0.026461979393185637
0.001,1.0,0.25,0.0,0.6,-2.0,0.9455065503716469,0.017125668682714715,0.8418029993772507,0.01297715753551044,0.7210918813943863,0.012694871090542027
0.001,1.0,0.25,0.0,0.65,-2.0,0.9513681828975677,0.011786752400223437,0.8302499130368233,0.007177582792087364,0.7159366235136986,0.011527227196829618
0.001,1.0,0.25,0.0,0.7,-2.0,0.9506641700863838,0.016946022652223176,0.8315496519207954,0.007349378895181152,0.7138206288218498,0.012757368812058282
0.001,1.0,0.25,0.0,0.75,-2.0,0.9458586797118187,0.011305456390489436,0.8346230089664459,0.014297689994598095,0.7187512144446373,0.01601325041964768
0.001,1.0,0.25,0.0,0.8,-2.0,0.9521146938204765,0.02004032248121897,0.836133137345314,0.016708476701376054,0.7082423865795135,0.014901476245768241
0.001,1.0,0.25,0.0,0.85,-2.0,0.9515363201498985,0.008667308545484009,0.8352033048868179,0.006746702680189637,0.705081507563591,0.013679861474059429
0.001,1.0,0.25,0.0,0.9,-2.0,0.9568286687135696,0.011143412394248094,0.8330917432904243,0.01627476992051709,0.7044575959444046,0.007900856307155832
0.001,1.0,0.25,0.0,0.95,-2.0,0.9508090242743492,0.020759773661698466,0.8285975307226181,0.017969750344958763,0.7055685594677925,0.014861189297857328
