sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.0,0.6,-1.5,0.9741837754845619,0.004330239876043172,0.9399375393986702,0.0027236817098542938,0.920768640935421,0.0026825113589592792
0.001,1.0,0.25,0.0,0.65,-1.5,0.9752108529210091,0.006118525595308126,0.9398199841380119,0.002961013040880661,0.9204361140727997,0.002866169924132316
0.001,1.0,0.25,0.0,0.8,-1.5,0.9736761152744293,0.0049138046330227045,0.9401252940297127,0.0014181902892143976,0.9210652112960815,0.0026596655011833846
0.001,1.0,0.25,0.05,0.8,-1.5,0.9734247326850891,0.0050352218026502495,0.9396015852689743,0.001766715210691143,0.9207982271909714,0.0028067389809033113
0.001,1.0,0.25,0.1,0.8,-1.5,0.9735129028558731,0.005493006557971485,0.9390671476721764,0.0030011640239607463,0.9190355613827705,0.0026176851201740064
0.001,1.0,0.25,0.15,0.8,-1.5,0.9740470871329308,0.0066679431225937485,0.9393839836120605,0.002416246494501716,0.9194730520248413,0.0027962876992360607
0.001,1.0,0.25,0.2,0.8,-1.5,0.9720509648323059,0.005118332816909333,0.9384291172027588,0.0018293914524270248,0.9193397089838982,0.0029129298552923355
0.001,1.0,0.25,0.25,0.8,-1.5,0.9700257256627083,0.004508898320894007,0.9380019903182983,0.0023341480157352615,0.918054886162281,0.00282569383246514
0.001,1.0,0.25,0.3,0.8,-1.5,0.9721486046910286,0.00771991767706844,0.9361265152692795,0.0020840445797589797,0.9170220196247101,0.0018079869243547862
0.001,1.0,0.25,0.5,0.8,-1.5,0.9683873876929283,0.00451473918841208,0.9335780888795853,0.0022145149516119675,0.9127455651760101,0.0020359117178548017
0.001,1.0,0.25,1.0,0.8,-1.5,0.9552931264042854,0.0067170001895772505,0.9204707965254784,0.0032324756899870344,0.9003935977816582,0.0028140882296602654
0.001,1.0,0.25,0.0,0.95,-1.5,0.9765205830335617,0.006033162909737739,0.9396005272865295,0.002838560918232413,0.9195633828639984,0.0019257687669367533
0.001,1.0,0.25,0.05,0.95,-1.5,0.9752654880285263,0.005683915054808213,0.9395767524838448,0.0019039134607557885,0.9203018471598625,0.0027457143659980966
0.001,1.0,0.25,0.1,0.95,-1.5,0.9720597416162491,0.005920115087794242,0.9397790059447289,0.0021769174897090277,0.9200909286737442,0.002668433733751095
0.001,1.0,0.25,0.15,0.95,-1.5,0.9745609164237976,0.005463394331712603,0.9386286959052086,0.0028562768269765827,0.9188617318868637,0.00264731257628605
0.001,1.0,0.25,0.2,0.95,-1.5,0.9720735475420952,0.005219558081292969,0.9377800300717354,0.0016462345731218647,0.9183793514966965,0.00281770189792726
0.001,1.0,0.25,0.25,0.95,-1.5,0.9712928980588913,0.006572112352983136,0.937741830945015,0.0019726057654418532,0.9177012071013451,0.002949760127223965
0.001,1.0,0.25,0.3,0.95,-1.5,0.9694889113306999,0.007252167663117803,0.9371843710541725,0.001991040215500996,0.917929895222187,0.0025204167217723734
