sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.5,0.75,0.0,0.6,-3.0,0.6579232662916183,0.04273006028664655,0.5308271497488022,0.007673070321130864,0.47728680446743965,0.0063336351533981325
0.05,5.5,0.75,0.0,0.65,-3.0,0.6591230779886246,0.042205520620230585,0.5291586518287659,0.00978056497392412,0.4756510443985462,0.00841164767398838
0.05,5.5,0.75,0.0,0.6,-2.5,0.6600525602698326,0.0401456352142822,0.5319917798042297,0.008355528929142392,0.4761616364121437,0.006189539146762525
0.05,5.5,0.75,0.0,0.7,-2.5,0.6606427878141403,0.040368993428475185,0.5290878564119339,0.009346525366880512,0.476260993629694,0.006125809758787263
0.05,5.5,0.75,0.0,0.75,-2.5,0.6606427878141403,0.040368993428475185,0.5294511988759041,0.007463006173501847,0.47518274188041687,0.005169610357120104
0.05,5.5,0.75,0.0,0.8,-2.5,0.6586687341332436,0.04222016209094201,0.5292127951979637,0.006867408977346395,0.47438377514481544,0.007283899387908944
0.05,5.5,0.75,0.0,0.85,-2.5,0.6556142494082451,0.044149901656841815,0.528313547372818,0.008362538358160745,0.4740065895020962,0.006387040407401276
0.05,5.5,0.75,0.0,0.9,-2.5,0.6559492200613022,0.04453308965670017,0.525432899594307,0.007026023645152901,0.47253265604376793,0.005795677067998941
0.05,5.5,0.75,0.0,0.95,-2.5,0.6487843617796898,0.05004608207371396,0.5245240107178688,0.008786980207540027,0.4713147170841694,0.005518115853141471
0.05,5.5,0.75,0.0,1.0,-2.5,0.6477669924497604,0.05015336761805753,0.5251190140843391,0.007041408815098988,0.4711852893233299,0.005241759876444537
0.05,5.5,0.75,0.0,0.6,-2.0,0.6421336680650711,0.02761077089934321,0.5266281440854073,0.006502132743696054,0.4726627469062805,0.005287224928300098
0.05,5.5,0.75,0.0,0.65,-2.0,0.6426043510437012,0.027153336670155893,0.52848020195961,0.006101275345883672,0.47351760044693947,0.006072759598979539
0.05,5.5,0.75,0.0,0.7,-2.0,0.6437556222081184,0.025307787392672712,0.5299707874655724,0.007625238586539252,0.4741731211543083,0.0069025744556339376
0.05,5.5,0.75,0.0,0.75,-2.0,0.6437556222081184,0.025307787392672712,0.5280314609408379,0.00714552748763715,0.4735064171254635,0.0065814787720968534
0.05,5.5,0.75,0.0,0.8,-2.0,0.655948780477047,0.045565858474189126,0.5296205058693886,0.007428328635922634,0.47444723919034004,0.0060544477983793905
0.05,5.5,0.75,0.0,0.85,-2.0,0.655948780477047,0.045565858474189126,0.5304435566067696,0.0073110628163867665,0.475554633885622,0.006591366268499554
0.05,5.5,0.75,0.0,0.9,-2.0,0.6580088809132576,0.044737409210313044,0.528291717171669,0.008209983338250284,0.4750371649861336,0.0063693821951164055
0.05,5.5,0.75,0.0,0.95,-2.0,0.6580088809132576,0.044737409210313044,0.5280086621642113,0.007581815464375676,0.47398681938648224,0.007402545900601684
0.05,5.5,0.75,0.0,1.0,-2.0,0.6562672182917595,0.04349772873778598,0.5251882150769234,0.009849596242352472,0.47339406982064247,0.006236244740169704
0.05,5.5,0.75,0.0,0.6,-1.5,0.6461221128702164,0.01960940976421014,0.5228020176291466,0.005126731040634476,0.4725918211042881,0.00437220480188458
0.05,5.5,0.75,0.0,0.65,-1.5,0.6461221128702164,0.01960940976421014,0.5224681347608566,0.005628594692870102,0.4730692282319069,0.004322289324042185
0.05,5.5,0.75,0.0,0.7,-1.5,0.64095638692379,0.02302980219419275,0.5228172391653061,0.005011904474656823,0.47328734770417213,0.004250130546509702
0.05,5.5,0.75,0.0,0.75,-1.5,0.64095638692379,0.02302980219419275,0.523695595562458,0.006853005123603247,0.4737863168120384,0.004431551732243352
0.05,5.5,0.75,0.0,0.8,-1.5,0.6437556222081184,0.025307787392672712,0.5239411741495132,0.007059727152421693,0.47313326224684715,0.004462210503866959
0.05,5.5,0.75,0.0,0.85,-1.5,0.6437556222081184,0.025307787392672712,0.5242549702525139,0.007214136940454418,0.47359681501984596,0.004407101133131431
0.05,5.5,0.75,0.0,0.9,-1.5,0.6437556222081184,0.025307787392672712,0.5242193713784218,0.007939895048269079,0.47283418476581573,0.004717033095301329
