sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.0,0.6,-4.0,0.9671007245779037,0.02143854480637569,0.7683418020606041,0.01973593116468521,0.592574879527092,0.014691234818041743
0.05,5.0,0.25,0.0,0.65,-4.0,0.9703490287065506,0.017786611425674854,0.7678818106651306,0.02080408693958198,0.59159304946661,0.012084753524330265
0.05,5.0,0.25,0.0,0.7,-4.0,0.9695359915494919,0.02279461658926234,0.7718929052352905,0.018526422400716166,0.5951866805553436,0.015469013682406472
0.05,5.0,0.25,0.0,0.75,-4.0,0.965063601732254,0.027364423291833088,0.7702797055244446,0.018751011742562745,0.5939497202634811,0.014626748745349501
0.05,5.0,0.25,0.0,0.8,-4.0,0.9698529541492462,0.024530715544908724,0.7710953280329704,0.016066597667932288,0.5910067781805992,0.011329697358468437
0.05,5.0,0.25,0.0,0.85,-4.0,0.9637699499726295,0.02293439587003532,0.7691522687673569,0.01456974510737821,0.5894232243299484,0.014460938736102932
0.05,5.0,0.25,0.0,0.9,-4.0,0.9571109861135483,0.019415228070142593,0.7681781575083733,0.015717209373584323,0.5854005292057991,0.01742257819900545
0.05,5.0,0.25,0.0,0.95,-4.0,0.9572333917021751,0.019978257756787434,0.7605991959571838,0.019027864429742528,0.5689450800418854,0.020086211018133963
0.05,5.0,0.25,0.0,1.0,-4.0,0.9558147490024567,0.01981144202332695,0.7544015198945999,0.03173674077479403,0.5646917447447777,0.02327111249932095
0.05,5.0,0.25,0.0,0.6,-3.5,0.9596969932317734,0.024874805383579876,0.7675339058041573,0.01304459470698774,0.5879929810762405,0.01793648753989412
0.05,5.0,0.25,0.0,0.65,-3.5,0.9624337777495384,0.02314641355929225,0.7653795406222343,0.012718919545887993,0.5862522274255753,0.02203377374114997
0.05,5.0,0.25,0.0,0.7,-3.5,0.9666291400790215,0.024406643883404362,0.7670146450400352,0.020226129792776538,0.586804986000061,0.021013071810816127
0.05,5.0,0.25,0.0,0.75,-3.5,0.9671007245779037,0.02143854480637569,0.7627522870898247,0.022127605653961664,0.588017463684082,0.013198678331131697
0.05,5.0,0.25,0.0,0.8,-3.5,0.9717496335506439,0.017421161484081817,0.7640304714441299,0.020074568002760397,0.5894464030861855,0.01536814209063357
0.05,5.0,0.25,0.0,0.85,-3.5,0.9690102785825729,0.023671679635195807,0.7634274587035179,0.02101204043050271,0.5842344239354134,0.012526215253235265
0.05,5.0,0.25,0.0,0.9,-3.5,0.9690102785825729,0.023671679635195807,0.7672246769070625,0.01900318265812904,0.5840540304780006,0.013580711425186097
0.05,5.0,0.25,0.0,0.95,-3.5,0.9582783654332161,0.023418210314410676,0.7671885937452316,0.013124472687896958,0.5751749873161316,0.017501557848986504
0.05,5.0,0.25,0.0,1.0,-3.5,0.9557928442955017,0.020756584165714225,0.7642095759510994,0.01346319139255663,0.5756671950221062,0.01772641393581811
0.05,5.0,0.25,0.0,0.6,-3,0.9671638458967209,0.025949610846484818,0.7698119804263115,0.013864561826743154,0.5856208503246307,0.02180454933073934
0.05,5.0,0.25,0.0,0.65,-3,0.9564009979367256,0.03059816829486707,0.7611738741397858,0.015474392301685545,0.5827526450157166,0.022668589210470567
0.05,5.0,0.25,0.0,0.7,-3,0.9564009979367256,0.03059816829486707,0.7680428698658943,0.011384298221261739,0.5838375687599182,0.020462162001912743
0.05,5.0,0.25,0.0,0.75,-3,0.958529606461525,0.026233581895282944,0.7683984935283661,0.011775371291753732,0.5839573964476585,0.020231798257769558
0.05,5.0,0.25,0.0,0.8,-3,0.96126639097929,0.024730368151757262,0.7661732509732246,0.013299138002357384,0.5820967927575111,0.02111576494996732
0.05,5.0,0.25,0.0,0.85,-3,0.96126639097929,0.024730368151757262,0.7647352889180183,0.01225107952974487,0.5759235918521881,0.02540559345947722
0.05,5.0,0.25,0.0,0.9,-3,0.9625742211937904,0.022976484565085217,0.7616119682788849,0.011343288954471105,0.5778705179691315,0.022884717265586902
0.05,5.0,0.25,0.0,0.95,-3,0.9605345204472542,0.025950869889745674,0.7689474076032639,0.017666762544509496,0.5758385583758354,0.02139648072117847
0.05,5.0,0.25,0.0,1.0,-3,0.9612341821193695,0.030218719337465234,0.7561061978340149,0.014742466198667063,0.5768126547336578,0.016963899214570095
0.05,5.0,0.25,0.0,0.6,-2.5,0.9662825167179108,0.021654398123007776,0.780849277973175,0.015533823818455425,0.5850332900881767,0.020915242743750534
0.05,5.0,0.25,0.0,0.65,-2.5,0.967125192284584,0.02269179990687634,0.77679692953825,0.011293055648840642,0.5870729982852936,0.021492458167201703
0.05,5.0,0.25,0.0,0.7,-2.5,0.9654243737459183,0.02401623638677908,0.7758576199412346,0.011829206643487815,0.5870240330696106,0.018455159814241673
0.05,5.0,0.25,0.0,0.75,-2.5,0.9691069051623344,0.02222438668188108,0.7689705863595009,0.015573971973759962,0.5840385779738426,0.024034747117361862
0.05,5.0,0.25,0.0,0.8,-2.5,0.9654243737459183,0.02401623638677908,0.7633810713887215,0.015789728802622836,0.5829394906759262,0.02410541121594227
0.05,5.0,0.25,0.0,0.85,-2.5,0.9664126560091972,0.022430385941274802,0.762306459248066,0.01683037487258797,0.5831185951828957,0.020356468031919255
0.05,5.0,0.25,0.0,0.9,-2.5,0.9664126560091972,0.022430385941274802,0.7635575905442238,0.018134426149835705,0.5799346938729286,0.020801815425733606
0.05,5.0,0.25,0.0,0.95,-2.5,0.9621051922440529,0.025901922672656116,0.7567375600337982,0.024491166729658065,0.5788291692733765,0.025360388842831597
0.05,5.0,0.25,0.0,1.0,-2.5,0.9555866718292236,0.02558101260122358,0.7627793475985527,0.017911704336005575,0.5771631374955177,0.023250458912586904
0.05,5.0,0.25,0.0,0.6,-2,0.9638833254575729,0.016355422477354914,0.7826931178569794,0.016503707918833342,0.5922269970178604,0.01678977934866558
0.05,5.0,0.25,0.0,0.65,-2,0.9638833254575729,0.016355422477354914,0.7822421491146088,0.01877856208443688,0.5918236896395683,0.016502701384605637
0.05,5.0,0.25,0.0,0.7,-2,0.9696583896875381,0.017425043507402076,0.7849080562591553,0.017606819730140864,0.5916420146822929,0.017334985379299634
0.05,5.0,0.25,0.0,0.75,-2,0.9696583896875381,0.017425043507402076,0.7829907685518265,0.017095817768355538,0.5922591984272003,0.013784783626983948
0.05,5.0,0.25,0.0,0.8,-2,0.9675903469324112,0.021238940367128076,0.7835576981306076,0.020165261134207052,0.5919821709394455,0.013340712874086141
0.05,5.0,0.25,0.0,0.85,-2,0.9684330224990845,0.02224619652273574,0.7835370898246765,0.017800438799513495,0.589448980987072,0.01258715829253425
0.05,5.0,0.25,0.0,0.9,-2,0.970026895403862,0.02299185594241578,0.7819754332304001,0.016853685064356343,0.5840643420815468,0.016122748867488337
0.05,5.0,0.25,0.0,0.95,-2,0.970216304063797,0.022872325388825124,0.7809098362922668,0.01656541476659104,0.5838414281606674,0.01294460917878287
0.05,5.0,0.25,0.0,1.0,-2,0.970216304063797,0.022872325388825124,0.7728051692247391,0.02007801173251407,0.5857973694801331,0.01351071480283072
0.05,5.0,0.25,0.0,0.6,-1.5,0.9768894538283348,0.013516829691702563,0.7880726084113121,0.014261568272148915,0.5868358984589577,0.01940478126226006
0.05,5.0,0.25,0.0,0.65,-1.5,0.9768894538283348,0.013516829691702563,0.7873652204871178,0.014623798661347867,0.5890121683478355,0.020731068617157324
0.05,5.0,0.25,0.0,0.7,-1.5,0.9768894538283348,0.013516829691702563,0.7872350811958313,0.014717256337962564,0.5887119546532631,0.0206556790224631
0.05,5.0,0.25,0.0,0.75,-1.5,0.971482902765274,0.014270455666809541,0.7881241515278816,0.014116343594954792,0.5891139656305313,0.019191852941166085
0.05,5.0,0.25,0.0,0.8,-1.5,0.971482902765274,0.014270455666809541,0.7875443249940872,0.015148511370624751,0.5874260291457176,0.018039301174434506
0.05,5.0,0.25,0.0,0.85,-1.5,0.9679846242070198,0.017310064908987274,0.7873806804418564,0.01480469489554759,0.588214598596096,0.018306018360153276
0.05,5.0,0.25,0.0,0.9,-1.5,0.9679846242070198,0.017310064908987274,0.7872453927993774,0.014613496027306903,0.5876102969050407,0.018306937626201718
0.05,5.0,0.25,0.0,0.95,-1.5,0.9708979278802872,0.016815619476476452,0.7844996005296707,0.017673380144315003,0.5847833231091499,0.017858686265624306
0.05,5.0,0.25,0.0,1.0,-1.5,0.9708979278802872,0.016815619476476452,0.7824985459446907,0.018221741225560233,0.5833079889416695,0.017157293838436467
0.05,5.0,0.25,0.05,0.6,-4.0,0.9613913744688034,0.02794810253435862,0.7617421001195908,0.020407483279428026,0.5883305668830872,0.018520605538255595
0.05,5.0,0.25,0.05,0.65,-4.0,0.9669010117650032,0.02465906249004585,0.7637019008398056,0.018497180790155984,0.5903895944356918,0.01690810627784715
0.05,5.0,0.25,0.05,0.7,-4.0,0.971307672560215,0.022387588635281057,0.7620513513684273,0.01992731241957539,0.5901460647583008,0.015786708576627416
0.05,5.0,0.25,0.05,0.75,-4.0,0.9666587635874748,0.025557957430809596,0.7667440623044968,0.01925646696044986,0.5927926450967789,0.011096870615587928
0.05,5.0,0.25,0.05,0.8,-4.0,0.9666085094213486,0.025525153408998122,0.7709690555930138,0.018909457032553943,0.5894670262932777,0.01003323412409016
0.05,5.0,0.25,0.05,0.85,-4.0,0.9551357105374336,0.018391943040539562,0.7685956358909607,0.017057324472652163,0.5851930677890778,0.017108266746537835
0.05,5.0,0.25,0.05,0.9,-4.0,0.9599469676613808,0.017553062539539088,0.768395908176899,0.01508414491711452,0.5820401161909103,0.013843563827548122
0.05,5.0,0.25,0.05,0.95,-4.0,0.9583814442157745,0.019592270566929557,0.7622587978839874,0.01711916393770327,0.5741957202553749,0.02089345677870336
0.05,5.0,0.25,0.05,1.0,-4.0,0.9570852071046829,0.020735646647187855,0.7517549246549606,0.030524937374715757,0.5638194233179092,0.026577571229856253
0.05,5.0,0.25,0.05,0.6,-3.5,0.9666329920291901,0.024619061866881998,0.7680725157260895,0.01769640402260348,0.5865228027105331,0.022098607786143643
0.05,5.0,0.25,0.05,0.65,-3.5,0.9719802737236023,0.023855684581790194,0.7618258595466614,0.018045888886452165,0.5876231789588928,0.022566985169499676
0.05,5.0,0.25,0.05,0.7,-3.5,0.9697666242718697,0.02303164352709703,0.7569398507475853,0.01642739176511471,0.5849637165665627,0.022817462794516477
0.05,5.0,0.25,0.05,0.75,-3.5,0.9615318179130554,0.027812795886011276,0.7600013390183449,0.01921387095284878,0.584999792277813,0.020314960257090044
0.05,5.0,0.25,0.05,0.8,-3.5,0.9652942419052124,0.02199354306961988,0.7624894380569458,0.020353720142964406,0.5870008319616318,0.021859178092149986
0.05,5.0,0.25,0.05,0.85,-3.5,0.9631308540701866,0.025947332779611927,0.7606082186102867,0.018169103249835825,0.586147852241993,0.014451709026536096
0.05,5.0,0.25,0.05,0.9,-3.5,0.9659771472215652,0.024459486508745503,0.7654929384589195,0.014771897475535128,0.584380030632019,0.013116500466782378
0.05,5.0,0.25,0.05,0.95,-3.5,0.9564203470945358,0.026257520710858333,0.7665855810046196,0.014401731348323676,0.5801782310009003,0.017507906977266164
0.05,5.0,0.25,0.05,1.0,-3.5,0.9537840709090233,0.023703972152472122,0.7590311020612717,0.013587951785779886,0.5746673047542572,0.0226501510910921
0.05,5.0,0.25,0.05,0.6,-3,0.9698890224099159,0.023173637556350636,0.7704356163740158,0.019386707331694668,0.5856221318244934,0.023732530061640295
0.05,5.0,0.25,0.05,0.65,-3,0.9698890224099159,0.023173637556350636,0.7685969173908234,0.02218871293715455,0.5814499706029892,0.024749804125388616
0.05,5.0,0.25,0.05,0.7,-3,0.9754025191068649,0.024288911075979136,0.7672852277755737,0.021177621377667318,0.5804397910833359,0.025923965506098268
0.05,5.0,0.25,0.05,0.75,-3,0.9704778715968132,0.0279120437183602,0.7699975222349167,0.013761687218060334,0.585251048207283,0.01781763251206168
0.05,5.0,0.25,0.05,0.8,-3,0.9733937531709671,0.02314066218574013,0.7636091485619545,0.01679924822673621,0.582449845969677,0.0203609859000661
0.05,5.0,0.25,0.05,0.85,-3,0.9740921258926392,0.025442119605809783,0.7574501037597656,0.016149542743754963,0.5815040841698647,0.021838819291397846
0.05,5.0,0.25,0.05,0.9,-3,0.9696197435259819,0.025283421002380953,0.7605901807546616,0.014838129941174685,0.5774685069918633,0.019075297209021767
0.05,5.0,0.25,0.05,0.95,-3,0.9686237350106239,0.026557617556487632,0.7531194537878036,0.012877067109224236,0.5752020329236984,0.022152054766173778
0.05,5.0,0.25,0.05,1.0,-3,0.9639748260378838,0.02885060399187569,0.7541940659284592,0.012504723466364203,0.5753824263811111,0.016827035500416726
0.05,5.0,0.25,0.05,0.6,-2.5,0.969193235039711,0.019219293840540837,0.7802514210343361,0.017835185277578013,0.5830296725034714,0.024961109163505576
0.05,5.0,0.25,0.05,0.65,-2.5,0.969193235039711,0.019219293840540837,0.7799988761544228,0.016964374420248396,0.5835309103131294,0.024068343900426115
0.05,5.0,0.25,0.05,0.7,-2.5,0.967125192284584,0.02269179990687634,0.7701250836253166,0.01794050144576804,0.5829124227166176,0.026599935102766693
0.05,5.0,0.25,0.05,0.75,-2.5,0.9642608612775803,0.025346152444656402,0.7676266729831696,0.01897630593513311,0.5835502296686172,0.02594441827234409
0.05,5.0,0.25,0.05,0.8,-2.5,0.9662425741553307,0.0251552298221515,0.7682309821248055,0.019216653289114757,0.5823042467236519,0.024631742793763494
0.05,5.0,0.25,0.05,0.85,-2.5,0.9625600427389145,0.026354237920390065,0.7689280658960342,0.022445159041679805,0.5804977640509605,0.025338648229325356
0.05,5.0,0.25,0.05,0.9,-2.5,0.9654243737459183,0.02401623638677908,0.766986295580864,0.02154849162387164,0.5789992362260818,0.023944942542989282
0.05,5.0,0.25,0.05,0.95,-2.5,0.9748368710279465,0.020743906110226484,0.7670236602425575,0.019647762827291856,0.5731739327311516,0.023846148602898614
0.05,5.0,0.25,0.05,1.0,-2.5,0.9748368710279465,0.020743906110226484,0.7651398777961731,0.017974373398713803,0.5677480697631836,0.024020393212431525
0.05,5.0,0.25,0.05,0.6,-2,0.9707085192203522,0.016985447897229028,0.7833116054534912,0.01700303858629866,0.5865704715251923,0.015743569960150028
0.05,5.0,0.25,0.05,0.65,-2,0.9707085192203522,0.016985447897229028,0.7822086438536644,0.01780428142336853,0.5878950580954552,0.017462556962962908
