sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.05,5.0,0.25,0.0,0.6,-4.0,0.9444849640130997,0.023328129185056053,0.7753177434206009,0.04907812863384502,0.5656658485531807,0.059432585897727375
0.05,5.0,0.25,0.0,0.65,-4.0,0.9363480806350708,0.04366773616106901,0.74864062666893,0.054755134327883974,0.5395118705928326,0.06346941267748468
0.05,5.0,0.25,0.0,0.7,-4.0,0.9360659047961235,0.047106540729943046,0.6997832655906677,0.09626205454342507,0.5075931288301945,0.08058217352143529
0.05,5.0,0.25,0.0,0.75,-4.0,0.9023059010505676,0.07011359277032143,0.6522479131817818,0.11733960756519551,0.47355610504746437,0.09187056471401983
0.05,5.0,0.25,0.0,0.8,-4.0,0.8522631227970123,0.10308715764777425,0.6257473230361938,0.12615284195683807,0.46647579595446587,0.12760420463457606
0.05,5.0,0.25,0.0,0.85,-4.0,0.8367676138877869,0.09771108352263869,0.6107994355261326,0.1057847018383974,0.44999974593520164,0.10607369068209477
0.05,5.0,0.25,0.0,0.9,-4.0,0.8180392533540726,0.08208572687552844,0.5806884728372097,0.11313377098159036,0.4424774758517742,0.10548958497579593
0.05,5.0,0.25,0.0,0.95,-4.0,0.770193375647068,0.1255779693506892,0.55708958953619,0.11220959132582618,0.45132818445563316,0.10528392434584903
0.05,5.0,0.25,0.0,1.0,-4.0,0.768491268157959,0.123233331723485,0.5526983812451363,0.10940028080594287,0.44906558468937874,0.10541873972469279
0.05,5.0,0.25,0.0,0.6,-3.5,0.9637802466750145,0.010393721905164797,0.7795582041144371,0.0346561973776925,0.5780715271830559,0.04639385850797179
0.05,5.0,0.25,0.0,0.65,-3.5,0.951955683529377,0.026570404680744907,0.7612215504050255,0.04249809732444557,0.5524574294686317,0.05894471448531818
0.05,5.0,0.25,0.0,0.7,-3.5,0.9395074844360352,0.043131008551120086,0.7221477627754211,0.0713150647863187,0.537532739341259,0.05535342853389715
0.05,5.0,0.25,0.0,0.75,-3.5,0.9360659047961235,0.047106540729943046,0.6962618008255959,0.0911608641410075,0.5054812878370285,0.07212686593235806
0.05,5.0,0.25,0.0,0.8,-3.5,0.9204853549599648,0.04304509115895171,0.6531769260764122,0.11526493699297717,0.48074593767523766,0.0871674298325856
0.05,5.0,0.25,0.0,0.85,-3.5,0.8802338913083076,0.08636894756113428,0.6305598840117455,0.11097092295385248,0.4757298044860363,0.10056124968375724
0.05,5.0,0.25,0.0,0.9,-3.5,0.8386668711900711,0.09666445889344608,0.6201642602682114,0.10395216741227162,0.4526888467371464,0.08581381836671596
0.05,5.0,0.25,0.0,0.95,-3.5,0.8120219707489014,0.09618010686998088,0.5889542065560818,0.08680935162528537,0.45794206485152245,0.09211219056097801
0.05,5.0,0.25,0.0,1.0,-3.5,0.7901329174637794,0.1053518349496685,0.5662920586764812,0.09466245312740296,0.4553264006972313,0.09816017838924938
0.05,5.0,0.25,0.0,0.6,-3,0.961274117231369,0.013340601674808154,0.7768845558166504,0.03418866941190203,0.5897195711731911,0.0489943293198448
0.05,5.0,0.25,0.0,0.65,-3,0.95636235922575,0.0210715495694525,0.7590865045785904,0.03968346127286241,0.5585082173347473,0.042366465684261584
0.05,5.0,0.25,0.0,0.7,-3,0.9617109149694443,0.0184129113741091,0.7259295210242271,0.055311140456019287,0.5378277972340584,0.043782488098464536
0.05,5.0,0.25,0.0,0.75,-3,0.9341679289937019,0.04526387542325544,0.7011555135250092,0.06308989434179553,0.5279836505651474,0.04934964335179456
