sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.5,0.75,-4.0,0.9115914702415466,0.016386288629113642,0.7263843864202499,0.02429378027082891,0.5566290691494942,0.052668287738134235
0.001,1.0,0.25,0.5,0.8,-4.0,0.9192476645112038,0.0302543034786999,0.7330320924520493,0.020641737554684247,0.5533820651471615,0.034290159992998254
0.001,1.0,0.25,0.5,0.85,-4.0,0.9136192575097084,0.03169703035893422,0.7222721204161644,0.027529059186224135,0.5340648479759693,0.05442324969200661
0.001,1.0,0.25,0.5,0.85,-3.5,0.9296382740139961,0.025304458034105786,0.7558878064155579,0.015192931404070272,0.5931683778762817,0.029314217583555312
0.001,1.0,0.25,0.5,0.9,-3.5,0.9254560619592667,0.033093082647023556,0.7320868819952011,0.017630051621520107,0.5640690214931965,0.034568298982981284
0.001,1.0,0.25,0.5,1.0,-3.0,0.9289954528212547,0.022635742803600128,0.7632762640714645,0.019967226933317227,0.5853316113352776,0.023039565045000585
0.001,1.0,0.25,0.5,0.75,-1.5,0.957420602440834,0.01479031632326443,0.8287344798445702,0.010053806289643082,0.7007264420390129,0.012642072018940754
0.001,1.0,0.25,0.5,0.8,-1.5,0.9608686715364456,0.015528032385850894,0.8272063136100769,0.00953380580389128,0.7090824097394943,0.016387706630332306
0.001,1.0,0.25,0.5,0.85,-1.5,0.9592586681246758,0.01923817850838607,0.8310739547014236,0.009145493596672445,0.6979865953326225,0.009314669561070674
0.001,1.0,0.25,0.5,0.85,-1.5,0.9592586681246758,0.01923817850838607,0.8310739547014236,0.009145493596672445,0.6979865953326225,0.009314669561070674
0.001,1.0,0.25,0.5,0.9,-1.5,0.9583026692271233,0.008109970111623692,0.8309342563152313,0.010029160536497207,0.7068368718028069,0.014016341964121258
0.001,1.0,0.25,0.5,1.0,-1.5,0.9570673182606697,0.016812511118601832,0.8342885002493858,0.005452554114077248,0.7043285816907883,0.01155553928114438
